name,start_time_ns,duration_ns,process_id,thread_id,result
runtime_api,958009477,373,0,0,unknown
runtime_api,958039658,5033,0,0,unknown
runtime_api,958062109,147,0,0,unknown
runtime_api,958078945,3631,0,0,unknown
runtime_api,958104122,128,0,0,unknown
runtime_api,958128605,4046,0,0,unknown
runtime_api,958147094,117,0,0,unknown
runtime_api,958166964,4511,0,0,unknown
runtime_api,958200382,4796,0,0,unknown
runtime_api,958316166,9155,0,0,unknown
runtime_api,958434153,10172,0,0,unknown
runtime_api,958569838,725,0,0,unknown
runtime_api,958643214,12033,0,0,unknown
runtime_api,958686674,138,0,0,unknown
runtime_api,958709085,5494,0,0,unknown
runtime_api,958738812,150,0,0,unknown
runtime_api,958766571,5391,0,0,unknown
runtime_api,958788816,105,0,0,unknown
runtime_api,958808947,4427,0,0,unknown
runtime_api,958842037,6415,0,0,unknown
runtime_api,959002470,9875,0,0,unknown
runtime_api,959117878,7995,0,0,unknown
runtime_api,959204741,280,0,0,unknown
runtime_api,959234451,4781,0,0,unknown
runtime_api,959257652,134,0,0,unknown
runtime_api,959274681,4062,0,0,unknown
runtime_api,959299454,136,0,0,unknown
runtime_api,959325203,4923,0,0,unknown
runtime_api,959346175,118,0,0,unknown
runtime_api,959367889,5696,0,0,unknown
runtime_api,959402772,4731,0,0,unknown
runtime_api,959529278,9550,0,0,unknown
runtime_api,959657553,10502,0,0,unknown
runtime_api,959762619,410,0,0,unknown
runtime_api,959797577,5669,0,0,unknown
runtime_api,959824797,134,0,0,unknown
runtime_api,959843987,5334,0,0,unknown
runtime_api,959872226,126,0,0,unknown
runtime_api,959897179,4672,0,0,unknown
runtime_api,959918201,105,0,0,unknown
runtime_api,959936471,3733,0,0,unknown
runtime_api,959972165,4800,0,0,unknown
runtime_api,960083718,9251,0,0,unknown
runtime_api,960204667,11583,0,0,unknown
runtime_api,960299084,283,0,0,unknown
runtime_api,960332103,5385,0,0,unknown
runtime_api,960357522,218,0,0,unknown
runtime_api,960375976,5440,0,0,unknown
runtime_api,960402071,109,0,0,unknown
runtime_api,960426307,3859,0,0,unknown
runtime_api,960446251,136,0,0,unknown
runtime_api,960474405,5606,0,0,unknown
runtime_api,960511272,5457,0,0,unknown
runtime_api,960643821,12230,0,0,unknown
runtime_api,960770828,11307,0,0,unknown
runtime_api,960886550,458,0,0,unknown
runtime_api,960988914,17249,0,0,unknown
runtime_api,961081773,929,0,0,unknown
runtime_api,961174861,18121,0,0,unknown
runtime_api,961232435,160,0,0,unknown
runtime_api,961275624,6522,0,0,unknown
runtime_api,961310630,77,0,0,unknown
runtime_api,961342954,16216,0,0,unknown
runtime_api,961393501,8254,0,0,unknown
runtime_api,961598105,15309,0,0,unknown
runtime_api,961736892,9905,0,0,unknown
runtime_api,961850178,1343,0,0,unknown
runtime_api,961883968,6141,0,0,unknown
runtime_api,961910048,99,0,0,unknown
runtime_api,961929814,4101,0,0,unknown
runtime_api,961957485,122,0,0,unknown
runtime_api,961984342,5474,0,0,unknown
runtime_api,962006899,142,0,0,unknown
runtime_api,962029018,5708,0,0,unknown
runtime_api,962070243,5113,0,0,unknown
runtime_api,962189556,10565,0,0,unknown
runtime_api,962310924,11321,0,0,unknown
runtime_api,962416375,355,0,0,unknown
runtime_api,962449814,4177,0,0,unknown
runtime_api,964615612,1563,0,0,unknown
runtime_api,964797489,10278,0,0,unknown
runtime_api,964876403,117,0,0,unknown
runtime_api,964939474,10345,0,0,unknown
runtime_api,964970552,78,0,0,unknown
runtime_api,965011558,8549,0,0,unknown
runtime_api,965075836,9615,0,0,unknown
runtime_api,965629229,17607,0,0,unknown
runtime_api,965942458,13363,0,0,unknown
runtime_api,966190179,336,0,0,unknown
runtime_api,966255708,11010,0,0,unknown
runtime_api,966292101,209,0,0,unknown
runtime_api,966320340,5712,0,0,unknown
runtime_api,966360678,104,0,0,unknown
runtime_api,966396119,7036,0,0,unknown
runtime_api,966428134,402,0,0,unknown
runtime_api,966463430,8305,0,0,unknown
runtime_api,966514654,9923,0,0,unknown
runtime_api,966762460,18159,0,0,unknown
runtime_api,966944857,12444,0,0,unknown
runtime_api,967068814,263,0,0,unknown
runtime_api,967104383,5034,0,0,unknown
runtime_api,967127947,129,0,0,unknown
runtime_api,967147604,4908,0,0,unknown
runtime_api,967177641,128,0,0,unknown
runtime_api,967206623,3836,0,0,unknown
runtime_api,967228068,97,0,0,unknown
runtime_api,967250972,4686,0,0,unknown
runtime_api,967288031,4957,0,0,unknown
runtime_api,967420741,11946,0,0,unknown
runtime_api,967574852,11626,0,0,unknown
runtime_api,967699158,447,0,0,unknown
runtime_api,967740339,6776,0,0,unknown
runtime_api,967769296,114,0,0,unknown
runtime_api,967789453,4113,0,0,unknown
runtime_api,967821606,98,0,0,unknown
runtime_api,967849852,5627,0,0,unknown
runtime_api,967873474,92,0,0,unknown
runtime_api,967896602,4735,0,0,unknown
runtime_api,967935835,6611,0,0,unknown
runtime_api,968077362,13583,0,0,unknown
runtime_api,968225266,17517,0,0,unknown
runtime_api,968376982,416,0,0,unknown
runtime_api,968426646,6877,0,0,unknown
runtime_api,968458375,5178,0,0,unknown
runtime_api,968497342,7115,0,0,unknown
runtime_api,968535254,107,0,0,unknown
runtime_api,968569142,6788,0,0,unknown
runtime_api,968598991,140,0,0,unknown
runtime_api,968634386,9097,0,0,unknown
runtime_api,968683573,8679,0,0,unknown
runtime_api,968894423,17357,0,0,unknown
runtime_api,969060266,13723,0,0,unknown
runtime_api,969184501,330,0,0,unknown
runtime_api,969222337,4908,0,0,unknown
runtime_api,969248287,142,0,0,unknown
runtime_api,969267744,4072,0,0,unknown
runtime_api,969296622,126,0,0,unknown
runtime_api,969335962,6165,0,0,unknown
runtime_api,969362509,120,0,0,unknown
runtime_api,969388449,5090,0,0,unknown
runtime_api,969419815,7823,0,0,unknown
runtime_api,969587990,12575,0,0,unknown
runtime_api,969726784,10244,0,0,unknown
runtime_api,969847033,187,0,0,unknown
runtime_api,969888919,6535,0,0,unknown
runtime_api,969915105,228,0,0,unknown
runtime_api,969934982,4402,0,0,unknown
runtime_api,969964227,246,0,0,unknown
runtime_api,969993070,5378,0,0,unknown
runtime_api,970014653,132,0,0,unknown
runtime_api,970035778,5372,0,0,unknown
runtime_api,970068268,5384,0,0,unknown
runtime_api,970211470,11592,0,0,unknown
runtime_api,970341426,11800,0,0,unknown
runtime_api,970464591,712,0,0,unknown
runtime_api,970511506,6645,0,0,unknown
runtime_api,970541666,112,0,0,unknown
runtime_api,970563943,6053,0,0,unknown
runtime_api,970597089,139,0,0,unknown
runtime_api,970625048,4451,0,0,unknown
runtime_api,970649087,305,0,0,unknown
runtime_api,970676944,5138,0,0,unknown
runtime_api,970710261,5493,0,0,unknown
runtime_api,970868135,11739,0,0,unknown
runtime_api,971013900,8715,0,0,unknown
runtime_api,971116306,258,0,0,unknown
runtime_api,971148353,4861,0,0,unknown
runtime_api,971174000,118,0,0,unknown
runtime_api,971197167,5177,0,0,unknown
runtime_api,971225907,119,0,0,unknown
runtime_api,971249955,5446,0,0,unknown
runtime_api,971274395,100,0,0,unknown
runtime_api,971296044,3691,0,0,unknown
runtime_api,971324881,4885,0,0,unknown
runtime_api,971461958,15534,0,0,unknown
runtime_api,971620096,13936,0,0,unknown
runtime_api,971750881,195,0,0,unknown
runtime_api,971786096,5390,0,0,unknown
runtime_api,971812265,253,0,0,unknown
runtime_api,971831326,3718,0,0,unknown
runtime_api,971859366,595,0,0,unknown
runtime_api,971886373,5448,0,0,unknown
runtime_api,971907698,113,0,0,unknown
runtime_api,971932286,5557,0,0,unknown
runtime_api,971974027,5659,0,0,unknown
runtime_api,972123654,11147,0,0,unknown
runtime_api,972271206,10624,0,0,unknown
runtime_api,972404613,374,0,0,unknown
runtime_api,972451133,13620,0,0,unknown
runtime_api,972495509,333,0,0,unknown
runtime_api,972528620,7561,0,0,unknown
runtime_api,972565404,111,0,0,unknown
runtime_api,972598948,6801,0,0,unknown
runtime_api,972625815,125,0,0,unknown
runtime_api,972651428,5610,0,0,unknown
runtime_api,972683721,6655,0,0,unknown
runtime_api,972924757,36175,0,0,unknown
runtime_api,973298672,25072,0,0,unknown
runtime_api,973496647,650,0,0,unknown
runtime_api,973543050,6062,0,0,unknown
runtime_api,973568856,153,0,0,unknown
runtime_api,973587687,3783,0,0,unknown
runtime_api,973613109,119,0,0,unknown
runtime_api,973642645,5670,0,0,unknown
runtime_api,973664521,99,0,0,unknown
runtime_api,973689786,4708,0,0,unknown
runtime_api,973727431,6698,0,0,unknown
runtime_api,973912983,11406,0,0,unknown
runtime_api,974044096,10811,0,0,unknown
runtime_api,974130741,250,0,0,unknown
runtime_api,974159806,5125,0,0,unknown
runtime_api,974181763,114,0,0,unknown
runtime_api,974199627,3658,0,0,unknown
runtime_api,974224492,487,0,0,unknown
runtime_api,974248635,3977,0,0,unknown
runtime_api,974266117,131,0,0,unknown
runtime_api,974285233,3803,0,0,unknown
runtime_api,974317357,4558,0,0,unknown
runtime_api,974452251,14938,0,0,unknown
runtime_api,974592379,11064,0,0,unknown
runtime_api,974702866,171,0,0,unknown
runtime_api,974731765,6137,0,0,unknown
runtime_api,974755760,150,0,0,unknown
runtime_api,974775005,4283,0,0,unknown
runtime_api,974802607,107,0,0,unknown
runtime_api,974826732,7803,0,0,unknown
runtime_api,974880937,436,0,0,unknown
runtime_api,974948498,11074,0,0,unknown
runtime_api,975033061,13439,0,0,unknown
runtime_api,975250306,16573,0,0,unknown
runtime_api,975408115,15582,0,0,unknown
runtime_api,975550119,176,0,0,unknown
runtime_api,975593312,7395,0,0,unknown
runtime_api,975620684,120,0,0,unknown
runtime_api,975643165,6510,0,0,unknown
runtime_api,975674103,98,0,0,unknown
runtime_api,975703122,4522,0,0,unknown
runtime_api,975723555,134,0,0,unknown
runtime_api,975744511,4176,0,0,unknown
runtime_api,975777744,6443,0,0,unknown
runtime_api,975889809,9403,0,0,unknown
runtime_api,976009163,9710,0,0,unknown
runtime_api,976116938,498,0,0,unknown
runtime_api,976156238,5456,0,0,unknown
runtime_api,976182110,133,0,0,unknown
runtime_api,976204714,4326,0,0,unknown
runtime_api,976233086,83,0,0,unknown
runtime_api,976259670,6647,0,0,unknown
runtime_api,976283296,109,0,0,unknown
runtime_api,976309107,4604,0,0,unknown
runtime_api,976342944,4632,0,0,unknown
runtime_api,976455759,1053097,0,0,unknown
runtime_api,977901346,19572,0,0,unknown
runtime_api,978124962,316,0,0,unknown
runtime_api,978184790,6036,0,0,unknown
runtime_api,978210365,106,0,0,unknown
runtime_api,978236138,5322,0,0,unknown
runtime_api,978274304,110,0,0,unknown
runtime_api,978302866,5320,0,0,unknown
runtime_api,978323809,120,0,0,unknown
runtime_api,978351383,5919,0,0,unknown
runtime_api,978388509,6944,0,0,unknown
runtime_api,978613564,9936,0,0,unknown
runtime_api,978752063,7431,0,0,unknown
runtime_api,978851816,188,0,0,unknown
runtime_api,978876910,3901,0,0,unknown
runtime_api,978899271,163,0,0,unknown
runtime_api,978917448,3373,0,0,unknown
runtime_api,978942508,121,0,0,unknown
runtime_api,978967888,4932,0,0,unknown
runtime_api,978987900,109,0,0,unknown
runtime_api,979006509,3138,0,0,unknown
runtime_api,979039088,5074,0,0,unknown
runtime_api,979160824,5620,0,0,unknown
runtime_api,979267952,6765,0,0,unknown
runtime_api,979372761,166,0,0,unknown
runtime_api,979407722,7840,0,0,unknown
runtime_api,979436178,103,0,0,unknown
runtime_api,979464976,6635,0,0,unknown
runtime_api,979493772,125,0,0,unknown
runtime_api,979516559,6864,0,0,unknown
runtime_api,979798718,1147,0,0,unknown
runtime_api,979870505,316,0,0,unknown
runtime_api,980078746,262,0,0,unknown
runtime_api,980438624,1651,0,0,unknown
runtime_api,980593379,1009,0,0,unknown
runtime_api,980667596,707,0,0,unknown
runtime_api,983190041,1954,0,0,unknown
runtime_api,983373117,568,0,0,unknown
runtime_api,983416505,325,0,0,unknown
runtime_api,983451633,320,0,0,unknown
runtime_api,983519612,369,0,0,unknown
runtime_api,983551732,392,0,0,unknown
runtime_api,983705428,7422,0,0,unknown
runtime_api,983797502,750,0,0,unknown
runtime_api,988934154,80161,0,0,unknown
runtime_api,989188286,164,0,0,unknown
runtime_api,989256532,9099,0,0,unknown
runtime_api,989317490,7103,0,0,unknown
runtime_api,989897265,21308,0,0,unknown
runtime_api,990263541,24041,0,0,unknown
runtime_api,990580105,962,0,0,unknown
runtime_api,990679519,13879,0,0,unknown
runtime_api,990725695,136,0,0,unknown
runtime_api,990765989,10536,0,0,unknown
runtime_api,990833611,98,0,0,unknown
runtime_api,990883162,10722,0,0,unknown
runtime_api,990916961,529,0,0,unknown
runtime_api,990959812,9218,0,0,unknown
