backend,interface,batch,seq_len,latency_median_ms,latency_p90_ms,tflops_est,ncu_duration_ms,sm_pct,dram_pct,dram_bytes_est_gb,l2_hit_pct,l1_hit_pct,regs_per_thread,smem_dynamic_kb,achieved_occ_pct,eligible_warps_per_scheduler,issue_active_pct,waves_per_sm,top_stall,top_stall_pct,latency_speedup_vs_fa1,ncu_duration_speedup_vs_fa1,kernel_name
fa1,unpadded,1,8192,11.261951923370361,11.33956184387207,48.82128129236895,11.412896,16.71,86.3,9.684372608000025,50.77,13.08,255.0,40.625,16.58,0.12,11.2,1.0,L1TEX scoreboard dependency,38.4,1.0,1.0,"void fmha_fwd_loop_kernel<FMHA_kernel_traits<(int)128, (int)128, (int)16, (int)1, (int)4, (unsigned int)8, __nv_bfloat16>, (bool)0, (bool)1, (bool)0>(FMHA_fprop_params)"
fa2,varlen,1,8192,4.06116795539856,4.158495998382568,135.3854183797333,4.26736,44.34,6.06,0.2543043839999993,97.71,0.03,182.0,48.0,16.4,0.14,11.58,16.0,execution pipe wait,66.0,2.7730820411895825,2.674462899778786,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(flash::Flash_fwd_params)"
fa1,unpadded,16,8192,193.8350067138672,194.056201171875,45.38481935318364,197.515616,15.45,89.49,173.77985395200014,40.08,13.03,255.0,40.625,16.63,0.11,10.18,2.0,L1TEX scoreboard dependency,40.9,1.0,1.0,"void fmha_fwd_loop_kernel<FMHA_kernel_traits<(int)128, (int)128, (int)16, (int)1, (int)4, (unsigned int)8, __nv_bfloat16>, (bool)0, (bool)1, (bool)0>(FMHA_fprop_params)"
fa2,varlen,16,8192,55.3787841796875,55.68778610229492,158.85445833349897,64.279328,47.16,6.8,4.298088831999952,97.71,0.03,182.0,48.0,16.64,0.15,11.64,256.0,execution pipe wait,66.3,3.5001672496985647,3.072770393617058,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(flash::Flash_fwd_params)"
