batch,seq_len,latency_median_ms,tflops_est,ncu_duration_ms,sm_pct,dram_pct,achieved_occ_pct,eligible_warps_per_scheduler,issue_active_pct,waves_per_sm,top_stall_pct,max_memory_allocated_gb
16,8192,54.83724784851074,160.42319972611304,64.014336,47.36,6.78,16.64,0.15,11.64,256.0,71.0,4.831855616
32,8192,109.35497665405273,160.89193255213362,127.69248,47.43,6.86,16.65,0.15,11.65,512.0,71.0,9.663693824
64,8192,219.19520568847656,160.53575143490434,255.313504,47.49,6.87,16.65,0.15,11.65,1024.0,71.0,19.32737024
