batch,seq_len,duration_ms,sm_pct,dram_pct,regs_per_thread,smem_dynamic_kb,theoretical_occ_pct,achieved_occ_pct,eligible_warps_per_scheduler,top_stall,top_stall_pct_of_warp_latency,grid_size,block_size,waves_per_sm,issue_active_pct,l2_hit_pct,active_warps_per_scheduler,kernel_traits_confirmed
1,512,0.040512,20.19,15.6,182.0,48.0,16.67,14.01,0.12,CPIStall / execution pipe wait,46.9,256.0,128.0,1.0,10.15,85.85,1.7,"128,64,64,4"
1,2048,0.328608,37.0,7.8,182.0,48.0,16.67,15.62,0.14,CPIStall / execution pipe wait,67.5,1024.0,128.0,4.0,11.7,95.67,1.88,"128,64,64,4"
1,8192,4.248448,44.53,3.42,182.0,48.0,16.67,16.35,0.15,CPIStall / execution pipe wait,70.8,4096.0,128.0,16.0,11.59,98.85,1.96,"128,64,64,4"
1,16384,16.3664,46.13,1.94,182.0,48.0,16.67,16.49,0.15,CPIStall / execution pipe wait,71.1,8192.0,128.0,32.0,11.54,99.42,1.98,"128,64,64,4"
16,512,0.312352,42.54,46.18,182.0,48.0,16.67,16.3,0.16,CPIStall / execution pipe wait,63.5,4096.0,128.0,16.0,13.22,86.35,1.96,"128,64,64,4"
16,8192,64.014336,47.36,6.78,182.0,48.0,16.67,16.64,0.15,CPIStall / execution pipe wait,71.0,65536.0,128.0,256.0,11.64,97.73,2.0,"128,64,64,4"
16,16384,254.13136,47.49,3.45,182.0,48.0,16.67,16.65,0.15,CPIStall / execution pipe wait,71.2,131072.0,128.0,512.0,11.57,98.84,2.0,"128,64,64,4"
